name,line
House, See that? They all assume I'm a Patient because of this cane.
House, I don't want them to think I'm a doctor.
House, People don't want a sick doctor.
House," The one who can't talk, I liked that part."
House," And your cousin doesn't like the diagnosis. I wouldn't either. Brain tumor, she's gonna die, boring."
House, You're the oncologist; I'm just a lowly infectious disease guy.
House, She's 29. WhatEver she's got is highly unlikely.
House, That's an HMO lab; you might as well have sent it to a high school kid with a chemistry set.
House, I thought your uncle died of cancer.
House, That you know of.
House, None of which is Even close to dispositive. All it does is raise one question. Your cousin goes to an HMO?
House, And the big green thing in the middle of the bigger blue thing on a map is an island. I was hoping for something a bit more creative.
House, Is she a doctor?
House, Everybody lies.
House," No, treating illnesses is why we became doctors, treating Patients is what makes most doctors miserable."
House," If we don't talk to them they can't lie to us, and we can't lie to them. HuManity is overrated. I don't think it's a tumor."
House," Are you in first year of medical school? No. First of all, there's nothing on the CAT scan. Second of all, if this is a horse then the kindly family doctor in Trenton makes the obvious diagnosis and it nEver gets near this office. Differential diagnosis, people: if it's not a tumor what are the suspects? Why couldn't she talk?"
House, Get her a contrast MRI.
House, Mad zebra.
House," No, blood thiamine lEvel was normal."
House, Re-draw the blood tests. And get her scheduled for that contrast MRI ASAP. Let's find out what kind of zebra we're dealing with here.
House," Really? Well, that's odd, because I had no intention of being in your office 20 minutes ago."
House," No, just that I can't think of anything that I'd be interested in."
House," I have tenure. Are you going to grab my cane now, stop me from leaving?"
House, I'm here from 9 to 5.
House, Rough year.
House, I call back. Sometimes I misdial.
House," See, I was right, this doesn't interest me."
House, It's 5:00. I'm going home.
House, Nice.
House," Excellent, we have a point of agreement. You aren't going to fire me."
House," Well, like the philosopher Jagger once said, ""You can't always get what you want.""�"
House, You pulled my authorization.
House," No MRIs, no imaging studies, no labs."
House, If you're gonna fire me at least have the guts to face me.
House, I'm ANGRY! You're risking a Patient's life.
House," You showed me disrespect, you embarrassed me and as long as I'm still work here you have![interrupted]"
House," So, because you want me to treat Patients, you aren't letting me treat Patients."
House," Do the MRI, she folded. [Ducklings leave, House turns to Wilson] I've gotta do four hours a week in this clinic until I make up the time I've missed. 2054. I'll be caught up in 2054. [He walks into the clinic] You better love this cousin a whole lot."
House," Told you, can't trust people."
House," Can't get a picture, gonna have to get a thousand words."
House, We need to know if there's some genetic or environmental causes triggering an inflammatory response.
House, Truth begins in lies. Think about it.
House," 12:52 PM Dr. House checks in, please write that down. Do you have cable TV here somewhere? General Hospital starts in 8 minutes."
